Country,Grade,Subject,FK_1_FK_SCORE,FK_2_FK_SCORE,FK_3_FK_SCORE,FK_1_WORD_COUNT,FK_1_SENTENCE_COUNT,FK_1_SYLLABLES_COUNT,FK_1_COMPLEX_WORD_COUNT,FK_1_WORDS_PER_SENTENCE,FK_1_PERCENTAGE_COMPLEX_WORDS,FK_1_SYLLABLES_PER_WORD,FK_1_ESTIMATED_GRADE,FK_1_FOG_INDEX,FK_2_WORD_COUNT,FK_2_SENTENCE_COUNT,FK_2_SYLLABLES_COUNT,FK_2_WORDS_PER_SENTENCE,FK_2_SYLLABLES_PER_WORD,FK_3_WORD_COUNT,FK_3_SENTENCE_COUNT,FK_3_SYLLABLES_COUNT,FK_3_WORDS_PER_SENTENCE,FK_3_SYLLABLES_PER_WORD,CS7IS4_WORD_COUNT,CS7IS4_SENTENCE_COUNT
IN,1,English,78.7564,78.60049379804548,85.64291579796233,7851,576,10602,546,13.630208,6.9545283,1.3504013,5.6605167,8.233894,8013,535,10706,14,1,9244,616,11578,15,1,8013,630
IN,2,English,78.75034,79.16481396737541,87.25040766203097,12227,818,16319,803,14.9474325,6.567433,1.3346692,5.988594,8.605947,12488,781,16450,15,1,14523,925,17793,15,1,12488,954
IN,3,English,81.13185,80.12721862708895,87.47076459548828,9245,730,12332,573,12.664384,6.1979446,1.3339102,5.0892506,7.544931,9348,657,12405,14,1,10730,730,13247,14,1,9348,766
IN,3,EVS,79.773674,76.68253130507182,79.89474519369311,16138,1336,21899,1113,12.079341,6.8967657,1.3569835,5.1333485,7.5904427,16243,1280,22516,12,1,18187,1337,24321,13,1,16243,1362
IN,4,English,75.55459,78.5118645038714,87.17469980097631,14214,960,19532,1063,14.80625,7.478543,1.3741381,6.399267,8.913917,14619,983,19566,14,1,17182,1121,21143,15,1,14619,1133
IN,4,EVS,77.393875,76.97076949007477,81.55813931114537,30553,2311,41901,2198,13.220684,7.1940565,1.3714201,5.748825,8.165896,30794,2244,42200,13,1,34873,2389,45533,14,1,30794,2440
IN,5,English,72.50561,86.85849504175367,99.87443113440725,16469,933,22662,1275,17.65166,7.741818,1.3760399,7.531418,10.157392,19200,958,22612,20,1,23466,1260,24425,18,1,19200,1278
IN,5,EVS,78.00329,77.89676757549381,83.27548354783075,39861,3041,54433,3001,13.10786,7.5286617,1.3655703,5.6357937,8.254608,40298,2966,54849,13,1,45835,3252,59192,14,1,40298,3285
IN,6,English,73.184364,72.4020230521707,82.76578546348668,16574,1166,23357,1485,14.214408,8.959816,1.4092555,6.5828342,9.2696905,16732,1065,23434,15,1,19432,1273,24939,15,1,16732,1286
IN,6,Civics,61.238235,61.62235488164938,65.06695024786366,21911,1313,33322,2872,16.687738,13.107571,1.5207887,8.863525,11.918124,22019,1309,33351,16,1,24419,1394,35788,17,1,22019,1408
IN,6,Geography,74.89401,67.69400000000002,72.63284615384617,47,5,68,6,9.4,12.765958,1.4468085,5.14834,8.866384,47,5,72,9,1,52,5,76,10,1,47,5
IN,6,History,62.610245,63.35347743869047,70.45513173613823,28567,1834,43362,3594,15.576336,12.580951,1.5179052,8.396053,11.262916,28753,1875,43475,15,1,33128,1964,46700,16,1,28753,1971
